stock_code,회사명,statement_type,count,years
090430,아모레퍼시픽,BS,51,"2025,2024,2023"
090430,아모레퍼시픽,IS,26,"2025,2024,2023"
009150,삼성전기,BS,50,"2025,2024,2023"
009150,삼성전기,IS,37,"2025,2024,2023"
035420,NAVER,BS,57,"2025,2024,2023"
035420,NAVER,IS,41,"2025,2024,2023"
