"stock_code","corp_name","raw_corp_name","corp_code","report_nm","report_kind","rcept_no","rcept_dt","source_type","has_original_image","has_ownership_rate","visual_file_type","visual_path","visual_url","metadata_path","extracted_data_path","source_url","dart_section_url","dart_image_url","nodes_count","edges_count","affiliate_companies_count","investment_edges_total","visual_edges_total","classification","needs_original_image_check","errors_count","created_at"
"000040","KR모터스","KR모터스보통주","00112378","사업보고서 (2025.12)","2025-annual","20260320001257","20260320","generated_affiliate_directory","False","False","svg","output\affiliate_visualization\000040_KR모터스보통주\affiliate_directory.svg","/static/affiliate_visualization/000040_KR모터스보통주/affiliate_directory.svg","output\affiliate_visualization\000040_KR모터스보통주\affiliate_visual_metadata.json","output\affiliate_visualization\000040_KR모터스보통주\affiliate_visual_data.json","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260320001257","","","1","0","18","0","0","타법인출자표_스타그래프가능","False","0","2026-05-28T17:00:32"
"000070","삼양홀딩스","삼양홀딩스보통주","00126937","사업보고서 (2025.12)","2025-annual","20260323001299","20260323","generated_ownership_graph","False","True","svg","output\affiliate_visualization\000070_삼양홀딩스보통주\affiliate_ownership_graph.svg","/static/affiliate_visualization/000070_삼양홀딩스보통주/affiliate_ownership_graph.svg","output\affiliate_visualization\000070_삼양홀딩스보통주\affiliate_visual_metadata.json","output\affiliate_visualization\000070_삼양홀딩스보통주\affiliate_visual_data.json","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323001299","","","31","26","48","20","26","도식신호+계통도표","True","0","2026-05-28T17:00:32"
"005930","삼성전자","삼성전자보통주","00126380","사업보고서 (2025.12)","2025-annual","20260310002820","20260310","generated_control_investment_graph","False","True","svg","output\affiliate_visualization\005930_삼성전자보통주\affiliate_investment_graph.svg","/static/affiliate_visualization/005930_삼성전자보통주/affiliate_investment_graph.svg","output\affiliate_visualization\005930_삼성전자보통주\affiliate_visual_metadata.json","output\affiliate_visualization\005930_삼성전자보통주\affiliate_visual_data.json","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820","","","102","101","201","125","101","도식신호_원본확인필요","True","0","2026-05-30T09:16:05"
"030200","케이티","케이티보통주","00190321","사업보고서 (2025.12)","2025-annual","20260323001553","20260323","original_dart_image","True","","jpg","output\affiliate_visualization\030200_케이티보통주\original_affiliate_diagram.jpg","/static/affiliate_visualization/030200_케이티보통주/original_affiliate_diagram.jpg","output\affiliate_visualization\030200_케이티보통주\affiliate_visual_metadata.json","output\affiliate_visualization\030200_케이티보통주\affiliate_visual_data.json","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323001553","https://dart.fss.or.kr/report/viewer.do?rcpNo=20260323001553&dcmNo=11168532&eleId=139&offset=8475261&length=35946&dtd=dart4.xsd","https://dart.fss.or.kr/report/download.do?dcmNo=11168532&flNm=kt+%EA%B7%B8%EB%A3%B9+%EA%B2%8C%ED%86%B5%EB%8F%84.jpg","0","0","0","0","0","타법인출자표_스타그래프가능","False","0","2026-05-28T16:56:18"
