======================================================================
  FILMN9 — DCF 밸류에이션용 애널리스트 리포트 다운로드 체크리스트
  전체 634개  (코어 443 / 확장 191)
  사용법: PDF 받으면 [ ] -> [O] 로 표시
======================================================================

■ 코어 (시총 5천억+) — 443개  ★최우선
----------------------------------------------------------------------
[ ]  85. 한온시스템  (018880)  | KOSPI | 시총 57,779억
[ ]  86. 이오테크닉스  (039030)  | KOSDAQ GLOBAL | 시총 56,424억
[ ]  87. 파두  (440110)  | KOSDAQ | 시총 56,159억
[ ]  88. 리가켐바이오  (141080)  | KOSDAQ GLOBAL | 시총 55,936억
[ ]  89. 현대제철  (004020)  | KOSPI | 시총 53,578억
[ ]  90. 한화엔진  (082740)  | KOSPI | 시총 53,573억
[ ]  91. 가온전선  (000500)  | KOSPI | 시총 53,269억
[ ]  92. 보로노이  (310210)  | KOSDAQ | 시총 52,814억
[ ]  93. SKC  (011790)  | KOSPI | 시총 52,751억
[ ]  94. 맥쿼리인프라  (088980)  | KOSPI | 시총 52,490억
[ ]  95. 원익IPS  (240810)  | KOSDAQ GLOBAL | 시총 52,029억
[ ]  96. 한전기술  (052690)  | KOSPI | 시총 51,329억
[ ]  97. 오리온  (271560)  | KOSPI | 시총 51,239억
[ ]  98. 서진시스템  (178320)  | KOSDAQ | 시총 49,378억
[ ]  99. 포스코DX  (022100)  | KOSPI | 시총 49,335억
[ ] 100. 신세계  (004170)  | KOSPI | 시총 48,643억
[ ] 101. 로보티즈  (108490)  | KOSDAQ | 시총 47,709억
[ ] 102. 케어젠  (214370)  | KOSDAQ | 시총 47,484억
[ ] 103. KCC  (002380)  | KOSPI | 시총 47,261억
[ ] 104. 일진전기  (103590)  | KOSPI | 시총 44,300억
[ ] 105. 현대무벡스  (319400)  | KOSDAQ | 시총 44,272억
[ ] 106. 심텍  (222800)  | KOSDAQ GLOBAL | 시총 44,245억
[ ] 107. 에코프로머티  (450080)  | KOSPI | 시총 43,979억
[ ] 108. ISC  (095340)  | KOSDAQ GLOBAL | 시총 42,924억
[ ] 109. 롯데쇼핑  (023530)  | KOSPI | 시총 41,782억
[ ] 110. 디앤디파마텍  (347850)  | KOSDAQ | 시총 41,439억
[ ] 111. HPSP  (403870)  | KOSDAQ GLOBAL | 시총 40,039억
[ ] 112. LG생활건강  (051900)  | KOSPI | 시총 37,846억
[ ] 113. 올릭스  (226950)  | KOSDAQ | 시총 35,546억
[ ] 114. 대한광통신  (010170)  | KOSDAQ | 시총 35,295억
[ ] 115. 영원무역  (111770)  | KOSPI | 시총 35,228억
[ ] 116. 더존비즈온  (012510)  | KOSPI | 시총 34,949억
[ ] 117. 에스엘  (005850)  | KOSPI | 시총 34,883억
[ ] 118. 넷마블  (251270)  | KOSPI | 시총 34,822억
[ ] 119. 롯데케미칼  (011170)  | KOSPI | 시총 34,520억
[ ] 120. 한화비전  (489790)  | KOSPI | 시총 33,878억
[ ] 121. 제주반도체  (080220)  | KOSDAQ | 시총 33,685억
[ ] 122. 금호석유화학  (011780)  | KOSPI | 시총 33,283억
[ ] 123. 한국가스공사  (036460)  | KOSPI | 시총 32,771억
[ ] 124. 한올바이오파마  (009420)  | KOSPI | 시총 32,650억
[ ] 125. 강원랜드  (035250)  | KOSPI | 시총 32,155억
[ ] 126. SK바이오사이언스  (302440)  | KOSPI | 시총 32,089억
[ ] 127. 현대엘리베이터  (017800)  | KOSPI | 시총 30,805억
[ ] 128. 한솔케미칼  (014680)  | KOSPI | 시총 30,700억
[ ] 129. 파마리서치  (214450)  | KOSDAQ GLOBAL | 시총 30,649억
[ ] 130. 휴젤  (145020)  | KOSDAQ GLOBAL | 시총 30,576억
[ ] 131. CJ제일제당  (097950)  | KOSPI | 시총 30,409억
[ ] 132. 두산테스나  (131970)  | KOSDAQ GLOBAL | 시총 30,402억
[ ] 133. 솔브레인  (357780)  | KOSDAQ GLOBAL | 시총 29,753억
[ ] 134. 티씨케이  (064760)  | KOSDAQ GLOBAL | 시총 29,625억
[ ] 135. DL이앤씨  (375500)  | KOSPI | 시총 29,601억
[ ] 136. 롯데에너지머티리얼즈  (020150)  | KOSPI | 시총 29,377억
[ ] 137. 팬오션  (028670)  | KOSPI | 시총 29,348억
[ ] 138. 클래시스  (214150)  | KOSDAQ GLOBAL | 시총 29,193억
[ ] 139. HL만도  (204320)  | KOSPI | 시총 29,160억
[ ] 140. 이수스페셜티케미컬  (457190)  | KOSPI | 시총 29,101억
[ ] 141. 코리아써키트  (007810)  | KOSPI | 시총 28,611억
[ ] 142. 피에스케이  (319660)  | KOSDAQ GLOBAL | 시총 28,532억
[ ] 143. 유진테크  (084370)  | KOSDAQ | 시총 28,416억
[ ] 144. 펄어비스  (263750)  | KOSDAQ GLOBAL | 시총 28,044억
[ ] 145. 에스티팜  (237690)  | KOSDAQ GLOBAL | 시총 27,975억
[ ] 146. F&F  (383220)  | KOSPI | 시총 27,926억
[ ] 147. 동진쎄미켐  (005290)  | KOSDAQ | 시총 27,881억
[ ] 148. 하나마이크론  (067310)  | KOSDAQ | 시총 26,885억
